,open,high,low,close,volume,close_change,return,previous_return,close_executed,close_executed_fixed,close_executed_differential,investment_value,investment_return_dollar,investment_return, investment_return_fixed ,crypto_fees,investment_return_adjusted
2024-01-01 00:00:00+00:00,42264.413,42264.413,42264.413,42264.413,0,,,,0,0,0,1000,0,, -   , ,   
2024-01-01 00:15:00+00:00,42492.87575,42493.93575,42492.87575,42493.93575,0,229.52274999999645,0.005430639,,0,0,0,1000,0,0, -   , ,   
2024-01-01 00:30:00+00:00,42391.645,42391.645,42391.645,42391.645,0,-102.29075,-0.002407185,0.005430639,0,0,0,1000,0,0, -   , ,   
2024-01-01 00:45:00+00:00,42428.56216666666,42428.56216666666,42428.56216666666,42428.56216666666,0,36.91716666666616,0.000870859,-0.002407185,0,0,0,1000,0,0, -   , ,   
2024-01-01 01:00:00+00:00,42446.5725,42446.5725,42446.5725,42446.5725,0,18.010333333339076,0.000424486,0.000870859,42446.5725,42446.5725,0,1000,0,0, -   ,0.0015, (0.0015)
2024-01-01 01:15:00+00:00,42456.085,42456.085,42456.085,42456.085,0,9.5125,0.000224105,0.000424486,0,0,0,1000,0,0, -   , ,   
2024-01-01 01:30:00+00:00,42490.3175,42490.3175,42490.3175,42490.3175,0,34.232499999998254,0.000806304,0.000224105,0,0,0,1001,0,0.001, 0.00100 , ,   
2024-01-01 01:45:00+00:00,42703.418333333335,42703.418333333335,42687.522666666664,42687.522666666664,1.5862666666666666e-05,197.20516666666663,0.004641179,0.000806304,0,0,0,1005,0,0.003996004, 0.00400 , ,   
2024-01-01 02:00:00+00:00,42630.539,42630.539,42609.0525,42609.0525,0,-78.47016667,-0.001838246,0.004641179,0,0,0,1003,0,-0.00199005, (0.00199), ,   
2024-01-01 02:15:00+00:00,42531.60416666667,42547.3375,42528.75,42544.48333333334,0,-64.56916667,-0.001515386,-0.001838246,-42544.48333,-42544.48333,97,1002,2,-0.000997009, (0.00100),0.0025, (0.0035)
2024-01-01 02:30:00+00:00,42524.85,42535.601,42524.85,42535.601,0,-8.882333333,-0.000208778,-0.001515386,0,0,0,1002,0,0, -   , ,   
2024-01-01 02:45:00+00:00,42562.237,42562.237,42534.3538,42534.3538,0.000101346,-1.2472,-2.93E-05,-0.000208778,0,0,0,1002,0,0, -   , ,   
2024-01-01 03:00:00+00:00,42561.109500000006,42562.73891666667,42561.109500000006,42562.73891666667,0,28.38511666667182,0.000667346,-2.93E-05,0,0,0,1002,0,0, -   , ,   
