,stock,delay_timing,succession,percentage_threshold,roi
0,NVDA,1T,1,0.0,1540.800869843921
1,NVDA,1T,1,0.001,887.5712833931346
2,NVDA,1T,1,0.005,1018.1929586650514
3,NVDA,1T,1,0.01,954.8618784530387
4,NVDA,1T,2,0.0,1195.4730124926523
5,NVDA,1T,2,0.001,973.6979191900807
6,NVDA,1T,2,0.005,1033.04087270293
7,NVDA,1T,2,0.01,948.1220056321545
8,NVDA,1T,3,0.0,1169.3520208802781
9,NVDA,1T,3,0.001,1014.2377242043857
10,NVDA,1T,3,0.005,996.7945641313876
11,NVDA,1T,3,0.01,949.8278593583834
12,NVDA,5T,1,0.0,1154.1735422675135
13,NVDA,5T,1,0.001,984.4686996422728
14,NVDA,5T,1,0.005,951.145728013913
15,NVDA,5T,1,0.01,951.451530248747
16,NVDA,5T,2,0.0,1046.1182805576557
17,NVDA,5T,2,0.001,1020.5757130222325
18,NVDA,5T,2,0.005,977.5210649645942
19,NVDA,5T,2,0.01,906.7431073383542
20,NVDA,5T,3,0.0,1026.224968711873
21,NVDA,5T,3,0.001,1003.4582114017749
22,NVDA,5T,3,0.005,948.709445849152
23,NVDA,5T,3,0.01,893.9332014930903
24,NVDA,15T,1,0.0,1105.824509920069
25,NVDA,15T,1,0.001,1005.9466728113739
26,NVDA,15T,1,0.005,902.2357612129817
27,NVDA,15T,1,0.01,909.554403401791
28,NVDA,15T,2,0.0,1027.1837904906797
29,NVDA,15T,2,0.001,1008.9097764539093
30,NVDA,15T,2,0.005,962.3891029857282
31,NVDA,15T,2,0.01,954.8330978624501
32,NVDA,15T,3,0.0,995.1202608161728
33,NVDA,15T,3,0.001,968.2977716643788
34,NVDA,15T,3,0.005,961.279415852011
35,NVDA,15T,3,0.01,904.3545409703577
36,NVDA,30T,1,0.0,1031.2194860543705
37,NVDA,30T,1,0.001,964.029575862118
38,NVDA,30T,1,0.005,986.8965722874648
39,NVDA,30T,1,0.01,929.5659733741079
40,NVDA,30T,2,0.0,1011.5305309589186
41,NVDA,30T,2,0.001,984.9865276371996
42,NVDA,30T,2,0.005,932.0654849808614
43,NVDA,30T,2,0.01,937.2101632441414
44,NVDA,30T,3,0.0,1103.5084615288652
45,NVDA,30T,3,0.001,1094.0825472273737
46,NVDA,30T,3,0.005,1027.3105430853625
47,NVDA,30T,3,0.01,991.6024468513173
48,NVDA,1H,1,0.0,1031.343858675067
49,NVDA,1H,1,0.001,1003.3745828877378
50,NVDA,1H,1,0.005,994.0551591743714
51,NVDA,1H,1,0.01,945.404823559464
52,NVDA,1H,2,0.0,1073.976274109451
53,NVDA,1H,2,0.001,1049.608436862186
54,NVDA,1H,2,0.005,1055.2305479366487
55,NVDA,1H,2,0.01,1011.6985725681576
56,NVDA,1H,3,0.0,1005.3281627358579
57,NVDA,1H,3,0.001,992.4563313649096
58,NVDA,1H,3,0.005,998.672485532184
59,NVDA,1H,3,0.01,980.7814081089984
60,TSLA,1T,1,0.0,1459.1984045439112
61,TSLA,1T,1,0.001,986.3942164132055
62,TSLA,1T,1,0.005,1134.8866857826335
63,TSLA,1T,1,0.01,903.5632046338061
64,TSLA,1T,2,0.0,1127.9503489066028
65,TSLA,1T,2,0.001,919.4152165316085
66,TSLA,1T,2,0.005,1091.1744184036434
67,TSLA,1T,2,0.01,1051.096417799832
68,TSLA,1T,3,0.0,1181.7530035813904
69,TSLA,1T,3,0.001,1062.6085201961002
70,TSLA,1T,3,0.005,975.816464975507
71,TSLA,1T,3,0.01,1018.0526294050037
72,TSLA,5T,1,0.0,1097.1386672020922
73,TSLA,5T,1,0.001,924.5716214856571
74,TSLA,5T,1,0.005,966.0460775566136
75,TSLA,5T,1,0.01,1070.896578647148
76,TSLA,5T,2,0.0,1233.787914400512
77,TSLA,5T,2,0.001,1058.0873275822773
78,TSLA,5T,2,0.005,1151.5122906025877
79,TSLA,5T,2,0.01,1083.2877475402395
80,TSLA,5T,3,0.0,1200.1343869970924
81,TSLA,5T,3,0.001,1113.5395545653562
82,TSLA,5T,3,0.005,1008.3780596689055
83,TSLA,5T,3,0.01,938.3014882020916
84,TSLA,15T,1,0.0,1257.6977267984917
85,TSLA,15T,1,0.001,1165.2467868905592
86,TSLA,15T,1,0.005,1043.1819410069788
87,TSLA,15T,1,0.01,1032.4468511928908
88,TSLA,15T,2,0.0,1141.9044202993598
89,TSLA,15T,2,0.001,1124.1130432665266
90,TSLA,15T,2,0.005,1035.141624274114
91,TSLA,15T,2,0.01,1014.1223476461399
92,TSLA,15T,3,0.0,1057.0488997572966
93,TSLA,15T,3,0.001,999.7067446596492
94,TSLA,15T,3,0.005,1063.576085435235
95,TSLA,15T,3,0.01,1116.0334442290382
96,TSLA,30T,1,0.0,1146.415677671655
97,TSLA,30T,1,0.001,1095.796795192721
98,TSLA,30T,1,0.005,1103.664553400569
99,TSLA,30T,1,0.01,990.0151298763293
100,TSLA,30T,2,0.0,1082.4433200534588
101,TSLA,30T,2,0.001,998.4826072022163
102,TSLA,30T,2,0.005,1001.155662672361
103,TSLA,30T,2,0.01,1096.364260006147
104,TSLA,30T,3,0.0,1067.4059534385367
105,TSLA,30T,3,0.001,1014.5644527057718
106,TSLA,30T,3,0.005,977.2806598350354
107,TSLA,30T,3,0.01,999.8944162177671
108,TSLA,1H,1,0.0,1072.8739531349565
109,TSLA,1H,1,0.001,972.1864847652583
110,TSLA,1H,1,0.005,983.6733201099365
111,TSLA,1H,1,0.01,1114.5397327869814
112,TSLA,1H,2,0.0,1139.7064775057459
113,TSLA,1H,2,0.001,1077.322476397533
114,TSLA,1H,2,0.005,1117.7662506575234
115,TSLA,1H,2,0.01,1145.8692845084092
116,TSLA,1H,3,0.0,1302.941470027879
117,TSLA,1H,3,0.001,1196.3033319396852
118,TSLA,1H,3,0.005,1182.7098143944966
119,TSLA,1H,3,0.01,1144.8511517824802
